episode,season,category,beta_rTPJ,beta_visual_cortex,beta_auditory_cortex,beta_dorsal_striatum
s01e06b,1,Identity,1.1798555687108436,-1.852182165998685,-1.0602500039706613,0.10133173016907757
s01e07a,1,Language,0.18499401958184847,0.6254066393297824,-1.0565955584631255,-0.10767864022913884
s01e07a,1,Logic,0.354967008448028,0.14726538519706223,-0.7508955350050551,0.37637424443897716
s01e07b,1,Language,0.731748116469167,1.0227728354145789,-0.4152744257999991,0.43838524710147986
s01e07b,1,Logic,0.31786176286667667,0.5605351095052165,-0.012479633874206197,0.44832768603859086
s01e07b,1,Identity,-0.007314669814807495,0.30043779064581755,0.7678898440063676,0.617787628821644
s01e08a,1,Language,0.23060458922333515,0.5400224286765786,-0.6233568471706319,0.2205869253411566
s01e08a,1,Logic,0.14040132161079338,0.4590121772817684,-0.006874126937726294,0.13667176449314833
s01e08b,1,Language,0.6747337644664912,0.59102125849396,-0.13109762485309617,0.17005191247174664
s01e08b,1,Logic,0.6727398873079597,0.19824953326907116,-0.4809555100727741,0.2535403397966157
s01e08b,1,Identity,0.030298813598946026,0.9671154917760229,0.6957772966945799,0.3520853542655399
s01e09a,1,Language,0.28979346069087775,0.3681769192319302,-0.21118628805692408,0.41006785201249457
s01e09a,1,Logic,-0.022974547551867994,-0.3007929555642736,-0.6578598259174775,0.08380073688072698
s01e09a,1,Identity,1.2562166835691688,0.6819222896953063,-0.18250871588096526,0.5407861027514207
s01e09b,1,Language,-0.43827635693163414,0.6493574674933587,0.32040177542098336,0.06239367435472634
s01e09b,1,Logic,0.48524383431169166,0.15357084710676788,-0.5918265305326695,0.0643814496782854
s01e09b,1,Identity,-0.2586640530148424,-0.027751762126165418,0.8261521900166511,0.35728282075259404
s01e10a,1,Language,0.6375803103349402,0.8263726655039867,-0.4656642160689717,0.3391128432286284
s01e10a,1,Logic,0.34230788291462927,0.3365806600070247,-0.7101944182325057,0.07339934404716891
s01e10a,1,Identity,0.829894679304542,1.1184469438114624,-0.33678715763449774,0.6186683232343515
s01e10b,1,Language,-0.010435316979811557,0.10861776070299863,-1.0996926810314822,-0.1548756904122733
s01e10b,1,Logic,0.3539293595889439,0.9002742380665971,-0.2975710241654899,0.21564689136768153
s01e10b,1,Identity,-0.05724489622034087,0.8914683904594768,-1.1071035242631866,0.09477423530773099
s01e11a,1,Language,0.7350090505038506,0.4731086989652836,-0.451027403410164,0.33140166729785714
s01e11a,1,Logic,0.7013701238361009,0.5031006758042319,-0.30541032958419867,0.27141467394215585
s01e11a,1,Identity,0.7609562301167838,0.3894105444628301,-0.5478105977431005,0.08927556060107684
s01e11b,1,Language,0.493730663344805,1.0321238976418268,-0.5013866306147002,0.0036439767376759066
s01e11b,1,Logic,0.5428527403518542,0.187635772814974,0.12308783271889472,0.482870491470806
s01e12a,1,Language,0.09431775120974181,0.11565683489954749,-0.48109086151017544,0.12035064181119598
s01e12a,1,Logic,0.03837345900069123,-0.14250601514040714,-0.4185055980558364,0.12722342339772014
s01e12b,1,Language,-0.3827241171228905,0.43807735162493494,-1.0535635588239332,-0.39439846838024406
s01e12b,1,Logic,0.12450416843394088,0.15452478371886652,-0.6134625347912348,0.010811797644669947
s01e13a,1,Language,0.8880252892409747,0.07762211944489456,-0.47636857721273057,0.37442004096458803
s01e13a,1,Logic,0.19661407751657378,-0.29333925891067547,-0.6997861520354632,0.19424856538886345
s01e13b,1,Language,0.6197061362505282,0.6784553022599796,-0.1808241488373721,0.23019955410141976
s01e13b,1,Logic,0.3290671686377716,0.3978828915766541,-0.3831211051117238,0.5290535545003523
s01e13b,1,Identity,-1.224052340694235,-0.5921624837373973,-1.4735718115540222,0.2006474537185547
s01e14a,1,Language,0.09350922935509284,0.552074051019946,-0.14083905898499474,0.3482143639821097
s01e14a,1,Logic,0.7047728486377576,0.6910052932219961,-0.3703066465870327,0.1888419133162891
s01e14a,1,Identity,0.522262972278832,0.5158140531902372,-0.17927425705654118,0.4837178943107529
s01e14b,1,Language,0.47609369413767777,0.08936551289848355,-0.45305686363869824,0.3922410030240432
s01e14b,1,Logic,-0.045525384469175506,0.20732116659978767,-0.5068324226544632,0.10844537491660931
s01e14b,1,Identity,0.8639064960195031,0.36347506730857365,-0.8921275072661174,-0.1126231653142411
s01e15a,1,Language,0.33308310123338036,0.6056473843995757,-0.7597041897026098,0.4511265481968961
s01e15a,1,Logic,1.0898783807750712,1.0243999901146,-0.6202446816248315,0.5044392731736568
s01e15b,1,Language,0.14184522778275946,-0.22094345458572529,-0.59007590379078,0.216430536025736
s01e15b,1,Logic,0.18771015901235424,0.08722591903987473,-0.4127910478979119,0.20952611213170375
s01e15b,1,Identity,0.36343448437631676,0.9496324212911385,-1.7530133484002637,-0.2840889769158277
s01e16a,1,Language,0.6873831099157659,-0.11133850036984877,-1.1447984514681722,-0.30865102307469233
s01e16a,1,Logic,0.25492683066030164,0.45140992738805397,-0.06720019608953916,0.2540648466454659
s01e16a,1,Identity,0.7581507875379734,0.674324515183038,0.03228788811994415,0.31811048736347247
s01e16b,1,Language,0.144548723994649,0.5076101724223019,-0.022727801957293556,0.21431483753848868
s01e16b,1,Logic,0.22571598199476428,0.08279276612905748,-0.19740145784758448,0.20652375622901
s01e17a,1,Language,0.4118187201014569,0.4839600329379969,-0.9004452055323118,0.16294365596486446
s01e17a,1,Logic,0.29292160268697764,0.3115319335375779,-0.6469432362228371,-0.018527588116706184
s01e17a,1,Identity,-0.30654831909592306,0.07038468405766879,-0.782930596418177,-0.026679980535541478
s01e17b,1,Language,0.3377424762763095,-0.2689940531553482,0.11242002290014047,0.3420327901050537
s01e17b,1,Logic,0.6360408585685458,1.2284747548767339,-0.1412731276431362,0.2746602886004684
s01e18a,1,Language,-0.017087924581502163,0.03751755371802012,-0.2602184756830282,-0.020041608227897238
s01e18a,1,Logic,0.2855294924552917,0.15896555568620038,-0.5081622260050226,0.03611786307000089
s01e18a,1,Identity,-0.08598496286750468,-0.47074151978280454,0.1212660167315752,0.12882613873003657
s01e18b,1,Language,-0.14191368088038797,0.12107512810597351,-0.3959943246535083,0.09301057764389623
s01e18b,1,Logic,0.548998948026795,0.7069896852600672,-0.24748297591549123,0.21855370487988732
