episode,season,measure,region,tier,beta
s01e07a,1,humor,rTPJ,some,0.1579314903264128
s01e07a,1,humor,rTPJ,full,0.4624729176240383
s01e07a,1,humor,visual_cortex,some,0.048021560638473446
s01e07a,1,humor,visual_cortex,full,0.8094955861868729
s01e07a,1,humor,auditory_cortex,some,-0.5804713122616666
s01e07a,1,humor,auditory_cortex,full,-1.0480104175190617
s01e07a,1,humor,dorsal_str,some,0.15376230198744537
s01e07a,1,humor,dorsal_str,full,0.0721336857508057
s01e07a,1,humor,ventral_str,some,0.008575405675647685
s01e07a,1,humor,ventral_str,full,-0.13054899761699434
s01e07b,1,rms,rTPJ,some,0.7196995855318873
s01e07b,1,rms,rTPJ,full,0.3881357885005444
s01e07b,1,rms,visual_cortex,some,1.6393424195088815
s01e07b,1,rms,visual_cortex,full,0.24788477948215373
s01e07b,1,rms,auditory_cortex,some,0.06802042537302709
s01e07b,1,rms,auditory_cortex,full,-0.3550533282392718
s01e07b,1,rms,dorsal_str,some,0.44207323378097335
s01e07b,1,rms,dorsal_str,full,0.4557697087656145
s01e07b,1,rms,ventral_str,some,0.09266544479746813
s01e07b,1,rms,ventral_str,full,0.18601046482649142
s01e07b,1,prob,rTPJ,some,0.39293919361816726
s01e07b,1,prob,rTPJ,full,0.5657713928735317
s01e07b,1,prob,visual_cortex,some,0.7483980508166547
s01e07b,1,prob,visual_cortex,full,0.8074009778102871
s01e07b,1,prob,auditory_cortex,some,0.30506391033817115
s01e07b,1,prob,auditory_cortex,full,-0.38156774926556836
s01e07b,1,prob,dorsal_str,some,0.5012634884433447
s01e07b,1,prob,dorsal_str,full,0.4307431170934455
s01e07b,1,prob,ventral_str,some,0.12361508131579892
s01e07b,1,prob,ventral_str,full,0.15963222160210344
s01e07b,1,humor,rTPJ,some,0.6654425070609655
s01e07b,1,humor,rTPJ,full,0.380545967237792
s01e07b,1,humor,visual_cortex,some,0.8474227196952057
s01e07b,1,humor,visual_cortex,full,0.738614427065694
s01e07b,1,humor,auditory_cortex,some,-0.39689104434293887
s01e07b,1,humor,auditory_cortex,full,0.0017402072001238555
s01e07b,1,humor,dorsal_str,some,0.44287200837263735
